Hráč,Počet let,Pozice,Tým
Lukáš Bauer,35,brankář,Mlada boleslav
Dominik Beneš,24,útočník,Mlada boleslav
Jiří Besta,27,útočník,Mlada boleslav
Adam Delong,29,útočník,Mlada boleslav
Ondřej Duben,20,útočník,Mlada boleslav
Jáchym Eliáš,20,obránce,Mlada boleslav
Martin Feigl,19,obránce,Mlada boleslav
Miroslav Fořt,24,obránce,Mlada boleslav
Adam Hemerka,24,obránce,Mlada boleslav
Joakim Victor Lund,24,-,Mlada boleslav
Michal Sládek,26,útočník,Mlada boleslav
Filip Smutný,21,-,Mlada boleslav
Šimon Stránský,22,-,Mlada boleslav
Patrik Suchánek,35,obránce,Mlada boleslav
Martin Tokoš,35,útočník,Mlada boleslav
Milan Tomašík,37,útočník,Mlada boleslav
Tomáš Týc,21,brankář,Mlada boleslav
Jakub Vařecha,19,útočník,Mlada boleslav
Vojtěch Wiener,23,útočník,Mlada boleslav
Filip Zakonov,26,obránce,Mlada boleslav
Jan Zoufalý,23,útočník,Mlada boleslav
Filip Brynda,20,-,Karlovy vary
Dominik Bürger,19,útočník,Karlovy vary
Jakub Buršík,25,útočník,Karlovy vary
Filip Forman,23,-,Karlovy vary
Matúš Gajdoš,23,útočník,Karlovy vary
Maxim Grega,20,útočník,Karlovy vary
Jiří Hanzal,17,obránce,Karlovy vary
Jakub Hejzlar,22,obránce,Karlovy vary
Ondřej Kawulok,23,-,Karlovy vary
Jakub Klápa,19,útočník,Karlovy vary
Miroslav Kovařík,20,brankář,Karlovy vary
Matyáš Krebner,26,útočník,Karlovy vary
Jan Malič,23,-,Karlovy vary
Ladislav Mirt,25,útočník,Karlovy vary
Jakub Pařízek,25,obránce,Karlovy vary
Karel Petrák,24,útočník,Karlovy vary
Jaroslav Petrák,21,útočník,Karlovy vary
Lukáš Rada,19,útočník,Karlovy vary
Jan Řehoř,32,-,Karlovy vary
Tomáš Trnka,21,-,Karlovy vary
Samuel Virga,23,obránce,Karlovy vary
